place,alpha-2,region,sub-region,cost_nomad,cost_coworking,cost_expat,coffee_in_cafe,cost_beer,places_to_work,free_wifi_available,internet_speed,freedom_score,peace_score,safety,fragile_states_index,press_freedom_index,female_friendly,lgbt_friendly,friendly_to_foreigners,racism,leisure,life_score,nightlife,weed
Ankara,TR,Asia,Western Asia,3547.0,1524.46,2415.0,2.29,2.29,0.6,0.6,49.0,0.2,0.4,0.8,77.3,50.76,0.38,0.2,0.6,0.42,0.4,0.66,0.4,0.0
Alanya,TR,Asia,Western Asia,2176.0,248.1,1781.0,1.83,1.83,0.8,0.8,5.0,0.2,0.4,0.6,77.3,50.76,0.4,0.2,0.8,0.4,0.6,0.67,0.6,0.0
Bursa,TR,Asia,Western Asia,2108.0,130.19,933.0,1.52,1.52,0.4,0.4,19.0,0.2,0.4,0.6,77.3,50.76,0.6,0.4,0.6,0.4,0.6,0.65,0.4,1.0
Bodrum,TR,Asia,Western Asia,3076.0,260.38,1588.0,1.52,1.52,0.6,0.4,7.0,0.2,0.4,0.64,77.3,50.76,0.4,0.6,1.0,0.4,0.4,0.64,1.0,0.0
Tampere,FI,Europe,Northern Europe,3086.0,305.67,2065.0,3.76,3.76,0.8,1.0,32.0,1.0,1.0,1.0,18.8,8.59,1.0,0.8,0.8,0.8,0.8,0.83,0.8,0.0
Espoo,FI,Europe,Northern Europe,2881.0,393.57,2265.0,4.84,4.84,0.8,0.8,25.0,1.0,1.0,1.0,18.8,8.59,1.0,0.8,1.0,0.8,0.8,0.84,0.8,0.0
Turku,FI,Europe,Northern Europe,3001.0,350.28,2025.0,4.3,4.3,0.8,1.0,20.0,1.0,1.0,1.0,18.8,8.59,1.0,0.6,0.8,0.8,0.6,0.8,0.6,0.0
Oulu,FI,Europe,Northern Europe,2593.0,262.38,1761.0,3.23,3.23,0.4,1.0,15.0,1.0,1.0,0.8,18.8,8.59,1.0,0.8,0.6,0.8,0.4,0.76,0.4,0.0
Helsinki,FI,Europe,Northern Europe,3030.0,129.04,2223.0,5.38,5.38,0.4,1.0,26.0,1.0,1.0,1.0,18.8,8.59,1.0,1.0,1.0,0.8,0.8,0.83,0.8,0.0
Jyvaskyla,FI,Europe,Northern Europe,3307.0,483.9,2105.0,4.57,4.57,0.8,0.6,0.0,1.0,1.0,1.0,18.8,8.59,1.0,1.0,1.0,0.8,0.2,0.77,0.8,0.0
Nicosia,CY,Asia,Western Asia,2951.0,481.75,1980.0,5.91,5.91,0.4,0.4,20.0,0.8,0.6,0.6,64.0,18.26,0.8,0.6,0.4,0.6,0.8,0.71,0.8,0.0
Limassol,CY,Asia,Western Asia,3110.0,481.47,2212.0,5.91,5.91,0.6,0.8,9.0,0.8,0.6,1.0,64.0,18.26,0.8,0.8,1.0,0.6,1.0,0.76,0.6,0.0
Paphos,CY,Asia,Western Asia,3207.0,436.86,1764.0,5.38,5.38,0.4,0.4,6.0,0.8,0.6,0.76,64.0,18.26,0.73,0.6,0.56,0.6,0.8,0.7,0.8,0.0
Zadar,HR,Europe,Southern Europe,1916.0,87.36,939.0,1.07,1.07,0.8,0.8,45.0,0.6,0.8,0.8,52.4,27.91,0.8,0.42,0.8,0.4,0.4,0.75,0.4,0.0
Zagreb,HR,Europe,Southern Europe,1960.0,143.21,889.0,1.43,1.43,0.4,0.8,17.0,0.6,0.8,0.8,52.4,27.91,0.62,0.4,0.8,0.42,0.4,0.72,0.6,0.0
Split,HR,Europe,Southern Europe,2246.0,229.13,1168.0,1.07,1.07,0.4,0.6,9.0,0.6,0.8,0.6,52.4,27.91,0.8,0.6,0.8,0.4,0.6,0.72,0.4,0.0
Osijek,HR,Europe,Southern Europe,1508.0,87.36,729.0,1.07,1.07,0.6,0.6,9.0,0.6,0.8,0.6,52.4,27.91,0.6,0.6,0.8,0.4,0.4,0.69,0.4,0.0
Rijeka,HR,Europe,Southern Europe,1958.0,87.36,860.0,1.07,1.07,0.4,0.8,8.0,0.6,0.8,0.8,52.4,27.91,0.6,0.6,0.8,0.4,0.4,0.7,0.4,0.0
Dubrovnik,HR,Europe,Southern Europe,4532.0,226.95,1739.0,3.21,3.21,0.6,0.6,12.0,0.6,0.8,0.8,52.4,27.91,0.4,0.2,0.6,0.6,0.6,0.72,0.4,0.0
Ljubljana,SI,Europe,Southern Europe,1908.0,102.16,1314.0,3.23,3.23,0.8,0.6,14.0,0.6,0.8,0.8,33.9,22.26,0.6,0.6,1.0,0.0,0.6,0.79,0.8,0.0
San Juan,PR,Americas,Latin America and the Caribbean,2618.0,250.0,2765.0,6.0,6.0,0.4,0.6,16.0,0.6,0.8,0.8,34.0,22.49,0.6,0.8,1.0,0.8,0.6,0.78,1.0,0.0
Sofia,BG,Europe,Eastern Europe,2037.0,148.59,1096.0,2.75,2.75,0.8,1.0,20.0,0.4,0.8,0.6,53.7,34.46,0.6,0.2,0.8,0.4,0.6,0.71,0.8,0.0
Plovdiv,BG,Europe,Eastern Europe,2267.0,165.1,1136.0,4.13,4.13,0.4,0.96,21.0,0.4,0.8,0.8,53.7,34.46,0.6,0.36,0.8,0.4,0.6,0.74,0.6,0.0
Burgas,BG,Europe,Eastern Europe,3212.0,610.0,2130.0,7.5,7.5,0.4,1.0,24.0,0.4,0.8,0.6,53.7,34.46,1.0,0.4,0.8,0.4,0.4,0.76,1.0,0.0
Varna,BG,Europe,Eastern Europe,1708.0,110.07,874.0,2.06,2.06,0.4,0.6,4.0,0.4,0.8,0.8,53.7,34.46,0.6,0.6,0.8,0.4,0.6,0.69,0.6,0.0
Gibraltar,GI,Europe,Southern Europe,3881.0,249.5,2488.0,6.24,6.24,0.6,0.4,19.0,-4.2927982058378373e-17,-3.505881537899867e-17,0.6,-2.4040802149012467e-17,5.327323325727554e-17,0.8,0.44,0.8,0.6,0.6,0.79,0.6,0.0
Tbilisi,GE,Asia,Western Asia,1328.0,104.48,738.0,1.0,1.0,0.4,0.6,15.0,0.6,0.4,0.8,78.9,27.96,0.6,0.2,1.0,0.4,0.6,0.71,0.44,0.0
Amman,JO,Asia,Western Asia,2271.0,63.51,1254.0,2.12,2.12,0.8,0.6,5.0,0.2,0.4,0.6,78.0,44.49,0.2,0.2,1.0,0.0,0.6,0.68,0.6,0.0
Vilnius,LT,Europe,Northern Europe,2143.0,268.83,1645.0,2.69,2.69,0.4,0.6,13.0,0.8,0.8,0.8,42.4,19.95,0.6,0.44,1.0,0.8,1.0,0.75,0.6,0.0
Kaunas,LT,Europe,Northern Europe,1681.0,268.83,1279.0,2.15,2.15,0.6,0.4,32.0,0.8,0.8,0.6,42.4,19.95,0.8,0.4,0.6,0.8,0.6,0.72,0.6,0.0
Klaipeda,LT,Europe,Northern Europe,1469.0,228.27,1130.0,1.51,1.51,0.4,0.4,24.0,0.8,0.8,0.6,42.4,19.95,0.6,0.4,0.4,0.6,0.6,0.71,0.4,0.0
Kuala Lumpur,MY,Asia,South-eastern Asia,1330.0,92.16,988.0,0.69,0.69,1.0,0.6,3.0,0.2,0.6,0.6,66.1,46.57,0.4,0.2,0.38,0.0,0.4,0.72,0.2,0.0
Johor Bahru,MY,Asia,South-eastern Asia,1283.0,80.64,778.0,0.81,0.81,0.4,0.4,10.0,0.2,0.6,0.4,66.1,46.57,0.4,0.6,0.6,0.0,0.4,0.61,0.4,0.0
Kota Kinabalu,MY,Asia,South-eastern Asia,1528.0,70.28,845.0,0.86,0.86,0.6,0.4,3.0,0.2,0.6,0.8,66.1,46.57,0.0,0.6,0.8,0.0,0.8,0.69,0.2,0.0
Penang,MY,Asia,South-eastern Asia,1183.0,92.16,831.0,0.58,0.58,0.6,0.4,3.0,0.2,0.6,0.6,66.1,46.57,0.6,0.2,0.6,0.0,0.6,0.63,0.2,0.0
Ipoh,MY,Asia,South-eastern Asia,1824.0,294.59,2052.0,3.0,3.0,0.4,0.4,4.0,0.2,0.6,0.4,66.1,46.57,0.6,0.4,0.6,0.4,0.6,0.61,0.4,0.0
Santo Domingo,DO,Americas,Latin America and the Caribbean,1763.0,95.57,1448.0,3.78,3.78,0.4,0.4,7.0,0.6,0.6,0.4,70.8,27.9,0.6,0.4,0.8,0.8,1.0,0.69,1.0,0.0
Jarabacoa,DO,Americas,Latin America and the Caribbean,1116.0,64.86,2650.0,2.81,2.81,0.95,1.0,7.0,0.6,0.6,0.6,70.8,27.9,0.6,0.4,1.0,0.8,0.6,0.7,0.6,0.0
Kingston,JM,Americas,Latin America and the Caribbean,1325.0,188.61,1469.0,2.32,2.32,0.6,0.6,9.0,0.8,0.6,0.4,65.0,12.45,0.6,0.2,0.6,0.0,1.0,0.67,1.0,1.0
Sarajevo,BA,Europe,Southern Europe,1517.0,164.9,958.0,1.1,1.1,0.4,0.2,16.0,0.6,5.219763944090363e-30,0.6,3.579336919626675e-30,28.45,0.6,0.2,1.0,0.0,0.4,0.74,0.8,0.0
Banja Luka,BA,Europe,Southern Europe,1536.0,41.23,690.0,1.92,1.92,0.6,0.6,5.0,0.6,5.510994678260316e-30,0.6,3.779041912057354e-30,28.45,0.6,0.4,0.8,0.0,0.4,0.71,0.6,0.0
Bruges,GH,Africa,Sub-Saharan Africa,3155.0,346.34,2555.0,3.76,3.76,0.8,0.8,67.0,0.8,1.0,0.8,29.0,14.18,0.6,0.6,0.8,0.6,0.6,0.81,0.8,0.0
Innsbruck,GH,Africa,Sub-Saharan Africa,3337.0,351.59,2294.0,3.76,3.76,0.6,0.6,22.0,0.8,1.0,0.8,27.5,13.18,0.6,0.6,0.6,0.6,0.6,0.78,0.6,0.0
Accra,GH,Africa,Sub-Saharan Africa,3458.0,488.0,3096.0,6.0,6.0,0.2,0.4,7.0,0.8,0.6,0.2,71.2,17.95,0.6,0.2,0.6,0.6,0.8,0.46,0.8,0.0
Dubai,AE,Asia,Western Asia,5452.0,680.65,4303.0,3.4,3.4,0.8,0.64,6.0,0.4,0.8,1.0,44.5,36.73,0.62,0.2,0.8,0.64,0.8,0.78,0.43,0.0
Sharjah,AE,Asia,Western Asia,3288.0,243.4,2288.0,2.99,2.99,0.4,0.8,9.0,0.4,0.8,0.8,44.5,36.73,0.8,0.2,1.0,0.6,0.4,0.74,0.2,0.0
Abu Dhabi,AE,Asia,Western Asia,5194.0,553.71,4120.0,6.81,6.81,0.82,0.8,6.0,0.4,0.8,0.82,44.5,36.73,0.44,0.2,0.82,0.6,1.0,0.76,0.62,0.0
Muscat,OM,Asia,Western Asia,3602.0,23.37,2133.0,2.6,2.6,0.6,0.4,6.0,0.2,0.8,0.8,51.6,40.43,0.6,0.4,0.6,0.0,0.8,0.75,0.4,0.0
Cuenca,EC,Americas,Latin America and the Caribbean,971.0,70.0,1083.0,1.5,1.5,0.4,0.4,8.0,0.4,0.4,0.6,75.6,33.21,0.6,0.6,0.8,0.6,0.8,0.7,0.4,1.0
Guayaquil,EC,Americas,Latin America and the Caribbean,1372.0,52.0,1006.0,2.37,2.37,0.4,0.0,7.0,0.4,0.4,0.6,75.6,33.21,0.6,0.6,0.6,0.6,0.6,0.69,0.44,0.0
Quito,EC,Americas,Latin America and the Caribbean,1104.0,150.0,1107.0,1.5,1.5,0.8,0.6,3.0,0.4,0.4,0.6,75.6,33.21,0.0,0.6,0.8,0.6,0.6,0.7,0.6,1.0
Monaco,MC,Europe,Western Europe,5401.0,225.82,7179.0,5.38,5.38,0.8,0.6,19.0,-4.292798205837018e-17,-3.5058815378991977e-17,1.0,-2.404080214900788e-17,5.327323325726538e-17,0.8,0.6,0.8,0.6,1.0,0.82,1.0,0.0
Chachapoyas,PE,Americas,Latin America and the Caribbean,895.0,118.58,544.0,1.46,1.46,0.4,0.4,0.0,0.6,0.6,0.6,72.0,29.99,0.0,0.2,0.8,0.6,0.2,0.68,0.4,1.0
Lima,PE,Americas,Latin America and the Caribbean,2231.0,145.94,1148.0,1.46,1.46,0.8,0.4,3.0,0.6,0.6,0.6,72.0,29.99,0.4,0.2,0.8,0.6,0.8,0.63,0.6,1.0
Arequipa,PE,Americas,Latin America and the Caribbean,1537.0,116.75,828.0,1.46,1.46,0.4,0.4,4.0,0.6,0.6,0.56,72.0,29.99,0.0,0.4,1.0,0.6,0.6,0.67,0.6,1.0
Cusco,PE,Americas,Latin America and the Caribbean,1850.0,213.65,1635.0,2.63,2.63,0.6,0.4,1.0,0.6,0.6,0.6,72.0,29.99,0.4,0.4,0.4,0.6,0.2,0.59,0.4,0.0
Taghazout,MA,Africa,Northern Africa,1618.0,140.29,881.0,1.25,1.25,0.45,0.6,6.0,0.2,0.6,0.8,74.2,42.64,0.6,0.8,1.0,0.4,0.64,0.68,0.2,0.0
Rabat,MA,Africa,Northern Africa,4401.0,1476.15,2785.0,4.43,4.43,0.64,0.4,15.0,0.2,0.6,0.6,74.2,42.64,0.6,0.4,0.8,0.4,0.8,0.7,0.6,0.0
Casablanca,MA,Africa,Northern Africa,2782.0,250.52,1442.0,2.0,2.0,0.4,0.4,5.0,0.2,0.6,0.73,74.2,42.64,0.4,0.4,1.0,0.4,0.8,0.66,1.0,0.0
Agadir,MA,Africa,Northern Africa,1889.0,122.25,954.0,1.5,1.5,0.4,0.4,6.0,0.2,0.6,0.6,74.2,42.64,0.4,0.2,0.6,0.4,0.6,0.62,0.6,0.0
El Jadida,MA,Africa,Northern Africa,1908.0,40.71,745.0,0.5,0.5,0.6,1.0,2.0,0.2,0.6,0.8,74.2,42.64,0.4,0.2,0.6,0.4,0.6,0.61,0.6,0.0
Havana,CU,Americas,Latin America and the Caribbean,1963.0,183.0,1267.0,1.0,1.0,0.4,0.4,6.0,0.2,0.6,0.8,66.3,70.23,0.6,0.6,1.0,0.6,1.0,0.73,0.8,0.0
Bogota,CO,Americas,Latin America and the Caribbean,1283.0,152.05,1173.0,1.6,1.6,0.8,0.6,0.0,0.2,0.4,0.27,80.2,44.11,0.2,0.4,1.0,0.4,0.6,0.6,1.0,1.0
Cartagena,CO,Americas,Latin America and the Caribbean,1957.0,320.1,2688.0,1.6,1.6,0.4,0.6,5.0,0.2,0.4,0.8,80.2,44.11,0.4,0.4,1.0,0.4,1.0,0.63,0.8,1.0
Barranquilla,CO,Americas,Latin America and the Caribbean,1246.0,111.68,1106.0,1.46,1.46,0.4,0.0,5.0,0.2,0.4,0.6,80.2,44.11,0.6,0.6,0.6,0.6,0.6,0.61,0.8,0.0
Medellín,CO,Americas,Latin America and the Caribbean,1308.0,128.04,1493.0,1.6,1.6,0.8,0.4,7.0,0.2,0.4,0.4,80.2,44.11,0.2,0.4,0.64,0.4,0.8,0.53,0.8,1.0
Bucaramanga,CO,Americas,Latin America and the Caribbean,887.0,111.68,849.0,1.67,1.67,0.4,0.0,3.0,0.2,0.4,0.6,80.2,44.11,0.6,0.6,0.6,0.6,0.6,0.59,0.8,0.0
Salento,CO,Americas,Latin America and the Caribbean,1324.0,156.21,799.0,1.28,1.28,0.8,0.6,1.0,0.2,0.4,0.8,80.2,44.11,0.6,0.6,1.0,0.4,0.6,0.59,0.2,1.0
Santa Marta,CO,Americas,Latin America and the Caribbean,1658.0,156.21,1258.0,1.28,1.28,0.4,0.6,3.0,0.2,0.4,0.51,80.2,44.11,0.4,0.6,0.6,0.4,0.4,0.55,0.4,1.0
Pasto,CO,Americas,Latin America and the Caribbean,830.0,117.16,743.0,0.72,0.72,0.4,0.4,3.0,0.2,0.4,0.4,80.2,44.11,0.6,0.4,0.6,0.4,0.6,0.51,0.6,0.0
Cali,CO,Americas,Latin America and the Caribbean,1099.0,32.01,760.0,1.6,1.6,0.4,0.6,4.0,0.2,0.4,0.2,80.2,44.11,0.4,0.4,1.0,0.4,0.6,0.36,1.0,1.0
Bandar Seri Begawan,BN,Asia,South-eastern Asia,2795.0,105.9,1438.0,1.41,1.41,0.8,0.6,0.0,0.2,0.6,0.6,62.0,53.85,0.6,0.2,0.8,0.4,0.4,0.69,0.4,0.0
Luxembourg,LU,Europe,Western Europe,3933.0,376.36,3435.0,7.72,7.72,0.4,0.6,17.0,0.8,1.0,0.82,24.1,14.43,0.82,0.4,0.62,0.8,0.62,0.76,0.62,0.0
Salvador,SV,Americas,Latin America and the Caribbean,2198.0,203.94,1250.0,2.36,2.36,0.6,0.6,9.0,0.4,0.6,0.4,65.3,32.62,0.6,0.8,0.6,0.6,0.6,0.64,0.8,0.0
San Salvador,SV,Americas,Latin America and the Caribbean,1486.0,200.0,1016.0,1.75,1.75,0.4,0.8,3.0,6.617856310405252e-30,0.6,0.4,72.5,-8.212699176213496e-30,0.2,0.4,0.8,0.0,0.6,0.61,0.8,0.0
Asuncion,PY,Americas,Latin America and the Caribbean,1692.0,305.9,1386.0,2.8,2.8,0.0,0.4,8.0,0.4,0.6,0.6,72.6,33.63,0.6,0.2,0.0,0.4,0.6,0.66,0.0,0.0
Colombo,LK,Asia,Southern Asia,1046.0,68.7,939.0,0.84,0.84,0.6,0.6,6.0,0.2,0.4,0.8,87.7,44.96,0.8,0.4,1.0,0.0,0.8,0.66,0.24,0.0
Kandy,LK,Asia,Southern Asia,1272.0,261.07,984.0,2.03,2.03,0.6,0.6,6.0,0.2,0.4,0.6,87.7,44.96,0.6,0.4,0.8,0.4,0.8,0.63,0.6,0.0
Bar,ME,Europe,Southern Europe,738.0,87.9,889.0,1.08,1.08,0.2,0.2,5.0,0.4,0.8,0.6,55.2,32.79,0.4,0.6,1.0,0.0,0.6,0.7,0.6,0.0
Budva,ME,Europe,Southern Europe,2368.0,430.13,1594.0,3.23,3.23,0.4,0.4,5.0,0.4,0.8,0.6,55.2,32.79,0.4,0.4,0.6,0.0,0.6,0.65,0.2,0.0
Podgorica,ME,Europe,Southern Europe,1831.0,262.38,1166.0,3.23,3.23,0.4,0.6,3.0,0.4,0.8,0.6,55.2,32.79,0.6,0.6,0.6,0.0,0.6,0.65,0.4,0.0
Dorobo,TZ,Africa,Sub-Saharan Africa,2099.0,92.52,1419.0,6.62,6.62,0.2,0.2,10.0,0.6,0.8,0.8,35.1,28.67,0.6,0.4,0.2,0.4,0.6,0.7,0.2,0.0
Dakar,SN,Africa,Sub-Saharan Africa,1620.0,106.63,1084.0,2.46,2.46,0.4,0.4,6.0,0.6,0.4,0.64,83.6,27.99,0.4,0.4,1.0,0.0,1.0,0.61,0.4,0.0
Palawan,PH,Asia,South-eastern Asia,1206.0,304.69,1117.0,1.78,1.78,0.2,0.2,0.0,0.2,0.4,0.4,84.7,44.66,0.6,0.4,1.0,0.4,1.0,0.56,0.6,0.0
Cebu,PH,Asia,South-eastern Asia,1286.0,507.82,1205.0,1.12,1.12,0.4,0.2,6.0,0.2,0.4,0.8,84.7,44.66,0.0,0.4,0.8,0.4,0.8,0.58,0.6,0.0
Boracay,PH,Asia,South-eastern Asia,1495.0,297.38,1882.0,1.02,1.02,0.8,0.4,0.0,0.2,0.4,0.6,84.7,44.66,0.6,0.4,0.8,0.6,0.2,0.56,0.6,0.0
General Santos,PH,Asia,South-eastern Asia,971.0,233.84,638.0,0.0,0.0,0.8,0.6,1.0,0.2,0.4,0.6,84.7,44.66,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.0
Makati,PH,Asia,South-eastern Asia,2491.0,911.64,2214.0,4.06,4.06,0.8,0.6,2.0,0.2,0.4,0.8,84.7,44.66,0.4,0.8,1.0,0.4,0.96,0.61,0.8,0.0
Manila,PH,Asia,South-eastern Asia,1365.0,147.27,1077.0,2.03,2.03,0.8,0.2,3.0,0.2,0.4,0.4,84.7,44.66,0.2,0.4,0.6,0.4,0.4,0.42,0.8,0.0
Davao,PH,Asia,South-eastern Asia,1170.0,81.25,927.0,2.03,2.03,0.6,0.6,4.0,0.2,0.4,0.8,84.7,44.66,0.6,0.4,1.0,0.4,0.8,0.6,0.6,0.0
Port Louis,MU,Africa,Sub-Saharan Africa,2399.0,323.62,1528.0,4.19,4.19,0.8,0.6,5.0,0.6,0.8,0.6,43.2,27.69,0.6,0.4,0.8,0.4,0.8,0.73,0.6,0.0
Tirana,AL,Europe,Southern Europe,1555.0,158.39,956.0,1.58,1.58,0.6,0.6,9.0,0.6,0.6,0.6,61.2,29.92,0.6,0.6,0.8,0.0,0.4,0.64,0.8,0.0
Manama,BH,Asia,Western Asia,4073.0,216.71,2302.0,2.65,2.65,0.8,0.4,6.0,0.2,0.6,0.96,63.4,54.86,0.8,0.8,1.0,0.0,0.8,0.7,0.8,0.0
Reykjavik,IS,Europe,Northern Europe,4307.0,327.92,4315.0,6.65,6.65,0.4,1.0,0.0,0.8,1.0,1.0,22.8,15.3,1.0,1.0,0.8,1.0,0.6,0.77,0.6,0.0
Dammam,SA,Asia,Western Asia,1586.0,453.14,1718.0,4.21,4.21,0.4,0.4,6.0,0.2,0.6,0.6,72.2,59.72,0.2,0.2,0.4,0.4,0.4,0.58,0.2,0.0
Riyadh,SA,Asia,Western Asia,3040.0,319.96,1661.0,2.0,2.0,1.0,0.4,7.0,0.2,0.6,0.4,72.2,59.72,0.2,0.2,0.6,0.4,0.4,0.57,0.6,0.0
Jeddah,SA,Asia,Western Asia,4175.0,533.27,2445.0,4.0,4.0,0.4,0.2,10.0,0.2,0.6,0.4,72.2,59.72,0.2,0.2,0.2,0.4,0.2,0.5,0.4,0.0
Baku,AZ,Asia,Western Asia,1701.0,142.52,988.0,1.75,1.75,0.4,0.4,9.0,0.2,0.4,0.6,76.3,57.89,0.4,0.4,0.8,0.0,0.8,0.67,1.0,0.0
Saint Helier,JE,Europe,Northern Europe,6219.0,436.63,4072.0,13.72,13.72,0.8,0.8,14.0,2.774282020580268e-29,2.265725908954435e-29,0.6,1.55367110132575e-29,-3.4428586231435214e-29,0.6,1.0,0.6,0.0,0.6,0.77,0.4,0.0
Caye Caulker,BZ,Americas,Latin America and the Caribbean,3518.0,284.06,1974.0,3.49,3.49,0.2,0.0,0.0,0.6,0.6,0.6,66.0,20.61,0.6,0.2,0.6,0.0,0.8,0.68,0.2,0.0
Belize City,BZ,Americas,Latin America and the Caribbean,3162.0,243.31,1601.0,2.99,2.99,0.4,0.6,1.0,0.6,0.6,0.6,66.0,20.61,0.6,0.2,0.8,0.0,0.4,0.66,0.6,0.0
San Pedro,BZ,Americas,Latin America and the Caribbean,4228.0,162.41,1535.0,1.99,1.99,0.8,0.4,3.0,0.6,0.6,0.6,66.0,20.61,0.6,0.2,0.8,0.0,1.0,0.68,1.0,0.0
Male,MV,Asia,Southern Asia,1743.0,146.29,1734.0,1.8,1.8,0.2,0.2,9.0,0.4,0.6,0.4,74.0,34.17,0.4,0.2,1.0,0.0,1.0,0.63,0.2,0.0
Chisinau,MD,Europe,Eastern Europe,1656.0,79.73,757.0,1.5,1.5,0.4,1.0,11.0,0.6,0.6,0.4,73.2,28.83,0.4,0.4,0.8,0.0,0.6,0.62,0.6,0.0
Cape Town,ZA,Africa,Sub-Saharan Africa,2677.0,139.61,2273.0,3.49,3.49,0.8,0.6,3.0,0.6,0.6,0.42,69.9,21.92,0.6,0.6,0.8,0.6,0.8,0.71,0.8,0.0
Pretoria,ZA,Africa,Sub-Saharan Africa,2465.0,255.48,1168.0,3.14,3.14,0.8,0.8,4.0,0.6,0.6,0.6,69.9,21.92,0.6,0.8,0.6,0.6,0.8,0.69,0.8,0.0
Port Elizabeth,ZA,Africa,Sub-Saharan Africa,2369.0,227.12,1185.0,2.79,2.79,0.6,0.6,2.0,0.6,0.6,0.4,69.9,21.92,0.6,0.8,0.8,0.6,0.6,0.61,0.4,0.0
Durban,ZA,Africa,Sub-Saharan Africa,3240.0,244.31,1645.0,4.19,4.19,0.4,0.4,3.0,0.6,0.6,0.4,69.9,21.92,0.6,0.6,0.8,0.6,0.6,0.59,0.4,0.0
Johannesburg,ZA,Africa,Sub-Saharan Africa,2467.0,195.45,1243.0,2.79,2.79,0.8,0.4,4.0,0.6,0.6,0.2,69.9,21.92,0.4,0.6,0.8,0.6,0.6,0.42,0.4,0.0
Dhaka,BD,Asia,Southern Asia,1703.0,190.51,1081.0,2.54,2.54,0.4,0.2,5.0,0.2,0.2,0.27,90.7,45.94,0.4,0.4,0.8,0.4,0.2,0.49,0.27,0.0
Chittagong,BD,Asia,Southern Asia,1111.0,63.5,703.0,3.56,3.56,0.4,0.6,3.0,0.2,0.2,0.6,90.7,45.94,0.6,0.4,0.6,0.4,0.6,0.45,0.4,0.0
Khulna,BD,Asia,Southern Asia,1279.0,63.5,694.0,7.62,7.62,0.4,0.6,2.0,0.2,0.2,0.6,90.7,45.94,0.6,0.4,0.6,0.4,0.8,0.48,0.4,0.0
Doha,QA,Asia,Western Asia,4741.0,340.87,3843.0,4.12,4.12,0.8,0.8,9.0,0.4,0.8,1.0,45.1,35.97,0.2,0.2,0.8,0.0,0.8,0.7,0.56,0.0
Almaty,KZ,Asia,Central Asia,1614.0,235.9,1162.0,2.9,2.9,0.6,0.6,5.0,0.2,0.6,0.6,66.5,54.55,0.6,0.4,0.6,0.0,0.6,0.62,0.4,0.0
Hamilton,BM,Americas,Northern America,6345.0,813.74,5446.0,10.0,10.0,0.4,0.6,6.0,-5.723730941116646e-17,-4.674508717199439e-17,0.8,-3.205440286534733e-17,7.103097767636155e-17,0.6,0.4,0.8,0.8,0.6,0.77,0.8,0.0
Siem Reap,KH,Asia,South-eastern Asia,1118.0,149.03,1141.0,1.99,1.99,0.8,0.4,1.0,0.2,0.4,0.6,87.4,40.7,0.4,0.6,0.8,0.0,0.6,0.56,0.4,0.0
Phnom Penh,KH,Asia,South-eastern Asia,1039.0,100.6,1036.0,1.99,1.99,0.8,0.4,4.0,0.2,0.4,0.4,87.4,40.7,0.4,0.6,0.8,0.0,0.6,0.51,0.4,0.0
Abidjan,NG,Africa,Sub-Saharan Africa,2299.0,233.49,1125.0,2.87,2.87,0.6,0.6,1.0,0.4,8.000946882513516e-30,0.6,5.48647120354468e-30,30.17,0.4,0.4,0.4,0.0,0.6,0.72,0.8,0.0
Abuja,NG,Africa,Sub-Saharan Africa,1782.0,4.78,1351.0,2.74,2.74,0.2,0.2,6.0,0.4,0.2,0.4,103.5,35.9,0.6,0.2,0.6,0.6,0.4,0.33,0.4,0.0
Ibadan,NG,Africa,Sub-Saharan Africa,1259.0,58.36,749.0,0.96,0.96,0.4,0.2,1.0,0.4,0.2,0.4,103.5,35.9,0.6,0.4,0.6,0.0,0.4,0.29,0.4,0.0
Lagos,NG,Africa,Sub-Saharan Africa,1330.0,95.68,1972.0,0.96,0.96,0.4,0.2,4.0,0.4,0.2,0.4,103.5,35.9,0.4,0.2,0.8,0.0,0.6,0.29,0.8,0.0
Port Harcourt,NG,Africa,Sub-Saharan Africa,2015.0,427.85,1118.0,1.96,1.96,0.4,0.2,1.0,0.4,0.2,0.4,103.5,35.9,0.2,0.2,0.4,0.4,0.4,0.28,0.2,0.0
Kano,NG,Africa,Sub-Saharan Africa,1889.0,58.36,510.0,0.96,0.96,0.2,0.2,1.0,0.4,0.2,0.4,103.5,35.9,0.4,0.4,0.6,0.0,0.4,0.28,0.2,0.0
Nairobi,KE,Africa,Sub-Saharan Africa,1679.0,196.49,1211.0,1.47,1.47,0.4,0.2,8.0,0.4,0.2,0.4,98.3,31.16,0.2,0.6,1.0,0.0,0.6,0.43,1.0,0.0
Beirut,LB,Asia,Western Asia,2096.0,165.46,1836.0,1.99,1.99,0.4,0.4,1.0,0.4,0.4,0.6,89.6,31.95,0.6,0.6,0.8,0.0,1.0,0.63,1.0,0.0
Santa Cruz,BO,Americas,Latin America and the Caribbean,1778.0,117.41,903.0,1.44,1.44,0.4,0.2,3.0,0.4,0.4,0.6,78.5,31.78,0.4,0.6,1.0,0.8,1.0,0.71,1.0,0.0
Cochabamba,BO,Americas,Latin America and the Caribbean,1447.0,50.5,721.0,1.08,1.08,0.8,0.4,2.0,0.4,0.4,0.8,78.5,31.78,0.4,0.6,1.0,0.8,0.6,0.63,0.6,0.0
